Team A,Team B, Team A Wins (Bambitron Classic), Team A Wins,Team B Wins,Both Win,Both Lose
NICK,SCOTT,51.300000000000004%,52%,43%,1%,4%
STEVE,KOLBUSH,56.48%,45%,49%,2%,4%
BRYCE,HUNYAR,58.13%,59%,34%,2%,5%
MEADY,JOE,56.31%,54%,44%,1%,1%
LOGAN,JAMES,60.199999999999996%,54%,40%,0%,6%
MCCLURE,DUC,49.76%,54%,41%,0%,5%
